data/id,data/source,data/target,data/line_name_k,data/is_bullet,data/lon,data/company_name_k,data/zoom,data/SUID,data/company_type,data/company_name_h,data/interaction,data/shared_interaction,data/company_url,data/line_name,data/selected,data/company_name,data/company_cd,data/name,data/rr_cd,data/company_name_r,data/e_status_x,data/shared_name,data/lat,data/e_status_y,data/line_name_h,selected
13406,2911,2912,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13406,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131227 (11312) 1131228,11,JR東日本,0,1131227 (11312) 1131228,35.700170421148705,0,JR中央線(快速),false
13407,2912,2913,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13407,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131228 (11312) 1131229,11,JR東日本,0,1131228 (11312) 1131229,35.700170421148705,0,JR中央線(快速),false
13408,2913,2914,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13408,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131229 (11312) 1131230,11,JR東日本,0,1131229 (11312) 1131230,35.700170421148705,0,JR中央線(快速),false
13409,2914,2915,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13409,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131230 (11312) 1131231,11,JR東日本,0,1131230 (11312) 1131231,35.700170421148705,0,JR中央線(快速),false
13410,2915,2916,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13410,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131231 (11312) 1131232,11,JR東日本,0,1131231 (11312) 1131232,35.700170421148705,0,JR中央線(快速),false
13396,2901,2902,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13396,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131217 (11312) 1131218,11,JR東日本,0,1131217 (11312) 1131218,35.700170421148705,0,JR中央線(快速),false
13397,2902,2903,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13397,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131218 (11312) 1131219,11,JR東日本,0,1131218 (11312) 1131219,35.700170421148705,0,JR中央線(快速),false
13398,2903,2904,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13398,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131219 (11312) 1131220,11,JR東日本,0,1131219 (11312) 1131220,35.700170421148705,0,JR中央線(快速),false
13399,2904,2905,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13399,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131220 (11312) 1131221,11,JR東日本,0,1131220 (11312) 1131221,35.700170421148705,0,JR中央線(快速),false
13400,2905,2906,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13400,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131221 (11312) 1131222,11,JR東日本,0,1131221 (11312) 1131222,35.700170421148705,0,JR中央線(快速),false
13401,2906,2907,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13401,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131222 (11312) 1131223,11,JR東日本,0,1131222 (11312) 1131223,35.700170421148705,0,JR中央線(快速),false
13402,2907,2908,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13402,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131223 (11312) 1131224,11,JR東日本,0,1131223 (11312) 1131224,35.700170421148705,0,JR中央線(快速),false
13403,2908,2909,チュウオウセン,false,139.53798847265622,ジェイアールヒガシニホン,10,13403,1,東日本旅客鉄道株式会社,11312,11312,http://www.jreast.co.jp/,JR中央線(快速),false,JR東日本,2,1131224 (11312) 1131225,11,JR東日本,0,1131224 (11312) 1131225,35.700170421148705,0,JR中央線(快速),false
13420,2926,2927,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13420,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131310 (11313) 1131311,11,JR東日本,0,1131310 (11313) 1131311,35.701641362335245,0,JR中央・総武緩行線,false
13419,2925,2926,チュウオウ・ソウブセン,false,139.83715522681192,ジェイアールヒガシニホン,10,13419,1,東日本旅客鉄道株式会社,11313,11313,http://www.jreast.co.jp/,JR中央・総武線,false,JR東日本,2,1131309 (11313) 1131310,11,JR東日本,0,1131309 (11313) 1131310,35.701641362335245,0,JR中央・総武緩行線,false
