data/id,data/station_name,data/close_ymd,data/lon,data/post,data/e_status,data/SUID,data/station_g_cd,data/add,data/line_cd,data/selected,data/open_ymd,data/name,data/pref_name,data/shared_name,data/lat,data/y,data/x,position/x,position/y,selected
8220,京成高砂,,139.866875,,0,8220,2300110,東京都葛飾区高砂五丁目28-1,99340,false,,9934001,東京都,9934001,35.750932,-357509.32,1398668.75,1398668.75,-357509.32,false
8221,新柴又,,139.879376,125-0052,0,8221,9934002,葛飾区柴又５-７-１,99340,false,,9934002,東京都,9934002,35.75101,-357510.10000000003,1398793.76,1398793.76,-357510.10000000003,false
5901,日本橋,,139.773516,103-0027,0,5901,2800109,中央区日本橋１丁目,28001,false,,2800109,東京都,2800109,35.682078000000004,-356820.78,1397735.16,1397735.16,-356820.78,false
5902,京橋,,139.770126,104-0031,0,5902,2800110,中央区京橋２-２-１０,28001,false,,2800110,東京都,2800110,35.676856,-356768.56,1397701.26,1397701.26,-356768.56,false
5903,銀座,,139.76396499999998,104-0061,0,5903,2800111,中央区銀座４-１-２,28001,false,,2800111,東京都,2800111,35.671989,-356719.89,1397639.65,1397639.65,-356719.89,false
5904,新橋,,139.758432,,0,5904,1130102,東京都港区新橋二丁目17-5,28001,false,,2800112,東京都,2800112,35.667434,-356674.34,1397584.32,1397584.32,-356674.34,false
5905,虎ノ門,,139.749832,105-0001,0,5905,2800113,港区虎ノ門１-１-２１,28001,false,,2800113,東京都,2800113,35.670235999999996,-356702.3599999999,1397498.32,1397498.32,-356702.3599999999,false
5906,溜池山王,,139.741419,100-0014,0,5906,2800114,千代田区永田町２-１１-１,28001,false,,2800114,東京都,2800114,35.673621000000004,-356736.21,1397414.1900000002,1397414.1900000002,-356736.21,false
5907,赤坂見附,,139.737047,107-0052,0,5907,2800115,港区赤坂３-１-６,28001,false,,2800115,東京都,2800115,35.677021,-356770.21,1397370.47,1397370.47,-356770.21,false
5908,青山一丁目,,139.72415900000001,107-0062,0,5908,2800116,港区南青山１-１-１９,28001,false,,2800116,東京都,2800116,35.672765000000005,-356727.6500000001,1397241.59,1397241.59,-356727.6500000001,false
5893,浅草,,139.79759199999998,,0,5893,2100201,東京都台東区,28001,false,,2800101,東京都,2800101,35.710733000000005,-357107.3300000001,1397975.9199999997,1397975.9199999997,-357107.3300000001,false
5894,田原町,,139.790897,111-0035,0,5894,2800102,台東区西浅草１-１-１８,28001,false,,2800102,東京都,2800102,35.709897,-357098.97,1397908.97,1397908.97,-357098.97,false
5895,稲荷町,,139.782593,110-0015,0,5895,2800103,台東区東上野３-３３-１１,28001,false,,2800103,東京都,2800103,35.711273,-357112.73,1397825.93,1397825.93,-357112.73,false
5896,上野,,139.777122,,0,5896,1130220,東京都台東区東上野三丁目19-6,28001,false,,2800104,東京都,2800104,35.711482000000004,-357114.82000000007,1397771.22,1397771.22,-357114.82000000007,false
5897,上野広小路,,139.772877,110-0005,0,5897,1130221,台東区上野３-２９-３,28001,false,,2800105,東京都,2800105,35.707679999999996,-357076.8,1397728.77,1397728.77,-357076.8,false
5898,末広町,,139.77171299999998,101-0021,0,5898,2800106,千代田区外神田４-７-３,28001,false,,2800106,東京都,2800106,35.702971999999995,-357029.72,1397717.1299999997,1397717.1299999997,-357029.72,false
5899,神田,,139.770899,,0,5899,1130223,東京都千代田区神田須田町一丁目16,28001,false,,2800107,東京都,2800107,35.693587,-356935.87,1397708.9899999998,1397708.9899999998,-356935.87,false
5900,三越前,,139.773594,103-0022,0,5900,1131402,中央区日本橋室町１-８-１,28001,false,,2800108,東京都,2800108,35.687101,-356871.01,1397735.94,1397735.94,-356871.01,false
5871,羽田空港国際線ターミナル,,139.768968,144-0041,0,5871,2700207,東京都大田区羽田空港二丁目6番5号,27002,false,2010-10-21,2700207,東京都,2700207,35.544676,-355446.76,1397689.68,1397689.68,-355446.76,false
5872,羽田空港,,139.785962,144-0041,0,5872,2700206,大田区羽田空港３-３-４,27002,false,,2700206,東京都,2700206,35.549809,-355498.09,1397859.62,1397859.62,-355498.09,false
5869,穴守稲荷,,139.746669,144-0043,0,5869,2700204,大田区羽田４-６-１１,27002,false,,2700204,東京都,2700204,35.550326,-355503.26,1397466.69,1397466.69,-355503.26,false
5870,天空橋,,139.75423,144-0041,0,5870,2700205,大田区羽田空港１-１-２,27002,false,,2700205,東京都,2700205,35.548908000000004,-355489.08,1397542.3,1397542.3,-355489.08,false
5867,糀谷,,139.72961999999998,144-0034,0,5867,2700202,大田区西糀谷４-１３-１７,27002,false,,2700202,東京都,2700202,35.5545,-355545,1397296.1999999997,1397296.1999999997,-355545,false
